Friday 04. June 2021, 14:18:36
	1       ! Problem Type (Do not change this number)
	28	16	1	 ! No. of Elements, Nodes, Mu (Viscosity)
 $ Nodes (Node #, x, y, and z coordinates):
1	2.3432602026631493e-17	0.3826834323650898	0.9238795325112867
2	-7.029780607989448e-17	-0.3826834323650898	0.9238795325112867
3	0.8001031451912656	0.4619397662556433	0.38268343236508984
4	5.657130561438501e-17	0.9238795325112867	0.38268343236508984
5	-0.8001031451912654	0.4619397662556437	0.38268343236508984
6	-0.8001031451912657	-0.4619397662556431	0.38268343236508984
7	-1.6971391684315505e-16	-0.9238795325112867	0.38268343236508984
8	0.8001031451912652	-0.46193976625564376	0.38268343236508984
9	0.8001031451912656	0.4619397662556433	-0.3826834323650897
10	5.657130561438501e-17	0.9238795325112867	-0.3826834323650897
11	-0.8001031451912654	0.4619397662556437	-0.3826834323650897
12	-0.8001031451912657	-0.4619397662556431	-0.3826834323650897
13	-1.6971391684315505e-16	-0.9238795325112867	-0.3826834323650897
14	0.8001031451912652	-0.46193976625564376	-0.3826834323650897
15	2.34326020266315e-17	0.3826834323650899	-0.9238795325112867
16	-7.029780607989449e-17	-0.3826834323650899	-0.9238795325112867
 $ Elements and Boundary Conditions (Elem #, Connectivity, BC Type (1=velocity given/2=traction given, in x,y,z) and given BC Values (in x,y,z)):
1	9	10	15	1	1	1	0.23149726886798008	0.8001031451912656	0.0
2	11	15	10	1	1	1	0.23149726886797972	-0.8001031451912654	0.0
3	2	7	6	1	1	1	3.768502731132019	-0.800103145191266	0.0
4	2	8	7	1	1	1	3.7685027311320205	0.8001031451912651	0.0
5	4	1	5	1	1	1	0.23149726886797986	-0.8001031451912652	0.0
6	4	3	1	1	1	1	0.23149726886798025	0.8001031451912656	0.0
7	16	13	14	1	1	1	3.7685027311320205	0.8001031451912649	0.0
8	16	12	13	1	1	1	3.768502731132019	-0.8001031451912658	0.0
9	9	14	8	1	1	1	2.4619397662556444	2.400309435573796	0.0
10	9	8	3	1	1	1	1.5380602337443572	2.400309435573796	0.0
11	13	12	6	1	1	1	3.8477590650225726	-1.6002062903825316	0.0
12	13	6	7	1	1	1	4.309698831278216	-0.800103145191266	0.0
13	13	8	14	1	1	1	3.847759065022574	1.6002062903825305	0.0
14	13	7	8	1	1	1	4.309698831278217	0.8001031451912649	0.0
15	11	6	12	1	1	1	2.4619397662556426	-2.400309435573797	0.0
16	11	5	6	1	1	1	1.5380602337443559	-2.400309435573796	0.0
17	2	6	5	1	1	1	2.382683432365089	-1.6002062903825311	0.0
18	2	5	1	1	1	1	1.5380602337443563	-0.8001031451912654	0.0
19	2	3	8	1	1	1	2.38268343236509	1.6002062903825307	0.0
20	2	1	3	1	1	1	1.5380602337443567	0.8001031451912656	0.0
21	4	5	11	1	1	1	0.15224093497742594	-1.6002062903825307	0.0
22	4	11	10	1	1	1	-0.309698831278217	-0.8001031451912654	0.0
23	4	9	3	1	1	1	0.15224093497742666	1.6002062903825311	0.0
24	4	10	9	1	1	1	-0.3096988312782167	0.8001031451912657	0.0
25	16	14	9	1	1	1	2.3826834323650905	1.6002062903825307	0.0
26	16	9	15	1	1	1	1.5380602337443567	0.8001031451912656	0.0
27	16	11	12	1	1	1	2.382683432365089	-1.6002062903825311	0.0
28	16	15	11	1	1	1	1.5380602337443563	-0.8001031451912654	0.0
